Food_Code,Food_Name,Description,Group,Protein,Fat,Carbohydrate,Energy,Total_sugars
13-145,"Ackee, canned, drained",8 cans,DG,2.9,15.2,0.8,151,0.8
13-146,"Agar, dried",Literature sources,DG,1.3,1.2,Tr,16,Tr
13-147,"Agar, dried, soaked and drained",Literature sources,DG,0.2,0.1,Tr,2,Tr
13-148,"Alfalfa sprouts, raw",Analytical and literature sources,DG,4,0.7,0.4,24,0.3
13-801,"Allspice, ground",Literature sources,H,6.1,8.7,N,N,N
14-870,"Almonds, flaked and ground",10 samples,GA,21.1,55.8,6.9,612,4.2
14-897,"Almonds, toasted",Literature sources,GA,21,52.5,5.9,579,5.1
14-898,"Almonds, weighed with shells",Calculated from 14-896,GA,7.8,18.5,1.9,205,1.6
14-896,"Almonds, whole kernels","Literature sources, Prunus dulcis",GA,21.2,49.9,5.3,554,4.5
13-150,"Amaranth leaves, boiled in unsalted water",Calculation from raw,DG,3,0.3,0.3,16,0.2
13-149,"Amaranth leaves, raw",Literature sources,DG,3.5,0.3,0.3,18,0.2
14-001,Amla,Literature sources,FA,0.5,0.1,13.7,58,N
16-448,"Anchovies, canned in oil, drained","10 samples, 4 brands",JC,25.2,10,0,191,0
13-802,Anise seeds,Literature sources,H,17.6,15.9,N,N,N
14-272,"Apple juice concentrate, unsweetened, commerical","10 samples, 68.6 Brix; imported commercial concentrate",PE,0.5,0.6,57.6,223,57.6
14-331,"Apple juice, clear, ambient and chilled","10 samples, 9 brands, from concentrate",FC,0.1,Tr,9.7,37,9.7
17-851,"Apple sauce, homemade",Recipe,WC,0.3,0.2,20.2,79,20.2
14-344,"Apples, cooking, baked with sugar, flesh only",Calculated from 672g apple (14-342) and 40g sugar (17-061),FA,0.2,0.4,17.1,69,17.1
14-345,"Apples, cooking, baked with sugar, flesh only, weighed with skin",Calculated from 14-344 using edible portion of 0.84,FA,0.2,0.3,14.3,57,14.3
14-342,"Apples, cooking, baked without sugar, flesh only",Calculated from 14-320,FA,0.2,0.4,11.4,47,11.4
14-343,"Apples, cooking, baked without sugar, flesh only, weighed with skin",Calculated from 14-342 using edible portion of 0.84,FA,0.2,0.3,9.6,40,9.6
14-362,"Apples, cooking, raw, flesh only, peeled","Bramley apples and unspecified. Analytical data, 1985-86; and 2011-12",F,0.3,0.3,8.9,37,8.9
14-363,"Apples, cooking, raw, flesh only, weighed with skin and core",Bramley variety; calculated from 14-362,F,0.2,0.2,6.5,27,6.4
14-332,"Apples, cooking, stewed with sugar, flesh only",Calculated from stewed without sugar,FA,0.2,0.3,20.8,81,20.8
14-320,"Apples, cooking, stewed without sugar, flesh only","22 samples, autumn and winter, UK grown pre-packed and loose, including Bramley and unspecified varieties",FA,0.2,0.3,9.7,40,9.7
14-016,"Apples, eating, dried","6 samples, 3 brands and calculation from 14-014",FA,2,0.5,60.1,238,60.1
14-319,"Apples, eating, raw, flesh and skin","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, including Gala, Braeburn, Golden Delicious, Pink Lady, Cox and Granny Smith",FA,0.6,0.5,11.6,51,11.6
14-346,"Apples, eating, raw, flesh and skin, weighed with core",Calculated from 14-319 using edible portion of 0.87,FA,0.5,0.4,10,43,10
14-031,"Apricots, dried",No stones,FA,4.8,0.7,43.4,188,43.4
14-032,"Apricots, dried, stewed with sugar","Calculated from 450g fruit, 770g water, 54g sugar",FA,1.9,0.3,22,92,22
14-033,"Apricots, dried, stewed without sugar","Calculated from 450g fruit, 770g water",FA,2,0.3,17.8,77,17.8
14-025,"Apricots, raw, flesh and skin",18 samples,FA,0.9,0.1,7.2,31,7.2
14-026,"Apricots, raw, flesh and skin, weighed with stones",Calculated from 14-025,FA,0.8,0.1,6.6,29,6.6
14-392,"Apricots, ready-to-eat, semi-dried","10 samples, 8 products, including soft, ready-to-eat and partially rehydrated",FA,2.2,0.5,39.4,161,39.4
14-027,"Apricots, stewed with sugar","1000g fruit, 100g water, 120g sugar; stones removed",FA,0.7,0.1,18.3,72,18.3
14-028,"Apricots, stewed with sugar, weighed with stones",Calculated from 14-027,FA,0.6,0.1,17.1,67,17.1
14-029,"Apricots, stewed without sugar","500g fruit, 75g water; stones removed",FA,0.7,0.1,6.2,27,6.2
14-030,"Apricots, stewed without sugar, weighed with stones",Calculated from 14-029,FA,0.7,0.1,5.8,25,5.8
13-152,"Arrowhead, boiled in unsalted water",Calculated from raw,DG,4.2,0.3,17.8,91,N
13-151,"Arrowhead, raw",Literature sources,DG,5,0.3,21.5,107,N
11-001,Arrowroot,2 samples from different shops,AA,0.4,0.1,94,355,Tr
13-155,"Artichoke, globe, base of leaves and heart, boiled in unsalted water",Base of leaves and heart; boiled 35 minutes,DG,2.9,0.2,2.7,18,1.3
13-154,"Artichoke, globe, boiled, weighed as served",Calculated from boiled in unsalted water,DG,1.2,0.1,1.2,8,0.6
13-153,"Artichoke, globe, raw",Literature sources,DG,2.8,0.2,2.7,18,1.3
13-156,"Artichoke, Jerusalem, boiled in unsalted water, flesh only",Boiled 20 minutes,DG,1.6,0.1,10.6,41,1.6
13-803,Asafoetida,Resin from root of Ferula plant. Literature sources,H,4,1.1,N,N,N
13-639,"Asparagus, grilled","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems. Tough base of stems removed, grilled for 4-6 minutes",DG,3.5,0.4,2,25,2
13-157,"Asparagus, raw",Tough base of stems removed,DG,2.9,0.6,2,25,1.9
13-640,"Asparagus, roasted in rapeseed oil","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems, tough base of stems removed. Roasted in 0.5-1 tbsp oil for 10 minutes",DG,3.5,1.5,2,35,2
13-638,"Asparagus, steamed","11 samples, fresh, UK and imported, including tips and thicker stems. Tough base of stems removed, steamed for 3-18 minutes",DG,2.9,0.4,1.6,21,1.6
13-651,"Aubergine, flesh and skin, boiled in unsalted water","11 samples, UK and imported. Cut into chunks and boiled for 10-30 minutes",DG,0.7,0.5,1.8,14,1.6
13-669,"Aubergine, flesh and skin, roasted in rapeseed oil","11 samples, UK and imported, roasted in a small amount of rapeseed oil for 20-30 minutes",DG,2.1,3.8,5.2,62,4.6
13-412,"Aubergine, fried in butter",Calculation from fried in corn oil,DG,1.2,31.9,2.8,302,2.6
13-162,"Aubergine, fried in corn oil",Sliced; shallow fried 10 minutes,DG,1.2,31.9,2.8,302,2.6
13-577,"Aubergine, fried in rapeseed oil",Calculated from fried in corn oil and 17-686,DG,1.2,31.9,2.8,302,2.6
13-161,"Aubergine, raw",Ends trimmed,DG,0.9,0.4,2.2,15,2
15-001,"Aubergine, stuffed with lentils and vegetables",Recipe from dietary survey records. Whole dish consumed,DR,2,4.6,3.9,64,1.7
15-662,"Aubergine, stuffed with rice","Rice, tomato, onion and raisin stuffing. Recipe from review of recipe collection. Whole dish consumed",DR,1.9,2.1,15.9,86,6
